                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.93006,                0.74446,                 1.3641,                0.82119,                0.74521,                0.78508,                0.51342,                  1.159,                0.78397,                  1.616,               0.002179,               0.002179,               0.002179
                     82,                0.91418,                0.72999,                 1.3523,                0.83602,                0.73748,                 0.7872,                0.51582,                 1.1605,                0.78116,                 1.6148,                0.00208,                0.00208,                0.00208
                     83,                0.91101,                0.72414,                 1.3498,                0.82486,                0.74568,                0.78843,                0.51558,                 1.1629,                0.77556,                 1.6123,               0.001981,               0.001981,               0.001981
                     84,                0.90977,                 0.7261,                 1.3474,                 0.8244,                0.75211,                0.79014,                0.51828,                 1.1622,                0.77493,                 1.6127,               0.001882,               0.001882,               0.001882
                     85,                 0.9114,                0.73158,                 1.3568,                0.83191,                 0.7455,                0.78885,                0.51682,                 1.1604,                0.77622,                  1.611,               0.001783,               0.001783,               0.001783
                     86,                0.90602,                0.72619,                 1.3445,                0.83877,                0.74055,                0.78576,                0.51558,                 1.1582,                0.77964,                 1.6135,               0.001684,               0.001684,               0.001684
                     87,                0.90111,                0.71237,                 1.3421,                0.80874,                0.75657,                0.78556,                0.51557,                 1.1591,                0.77977,                 1.6144,               0.001585,               0.001585,               0.001585
                     88,                0.89412,                0.70476,                 1.3367,                0.81511,                0.75247,                0.78348,                0.51334,                 1.1621,                 0.7844,                 1.6168,               0.001486,               0.001486,               0.001486
                     89,                0.89229,                0.70317,                 1.3328,                0.83409,                 0.7375,                0.78163,                0.51357,                 1.1627,                0.78286,                 1.6183,               0.001387,               0.001387,               0.001387
                     90,                0.89762,                0.71266,                 1.3415,                0.83068,                 0.7452,                0.78786,                0.51502,                 1.1615,                0.77641,                 1.6191,               0.001288,               0.001288,               0.001288
                     91,                0.82112,                0.51628,                 1.2891,                0.82881,                0.75021,                0.79181,                0.51688,                 1.1572,                0.77571,                  1.614,               0.001189,               0.001189,               0.001189
                     92,                0.80612,                0.49653,                 1.2757,                0.83031,                0.75158,                0.78979,                0.51723,                 1.1577,                0.77233,                 1.6161,                0.00109,                0.00109,                0.00109
                     93,                0.79514,                0.48434,                 1.2701,                0.83471,                0.74813,                0.78797,                 0.5191,                 1.1563,                0.77227,                 1.6161,               0.000991,               0.000991,               0.000991
                     94,                0.78833,                0.48345,                 1.2701,                0.83177,                0.75089,                0.78845,                 0.5187,                 1.1543,                0.77126,                 1.6164,               0.000892,               0.000892,               0.000892
                     95,                0.78265,                0.47392,                  1.259,                0.82326,                0.75381,                0.78875,                0.51948,                 1.1538,                0.77296,                 1.6181,               0.000793,               0.000793,               0.000793
                     96,                0.78103,                0.46868,                 1.2544,                0.82189,                0.75646,                0.78894,                0.52093,                 1.1524,                 0.7715,                 1.6182,               0.000694,               0.000694,               0.000694
                     97,                0.77798,                0.46894,                 1.2535,                0.81515,                0.75725,                0.78805,                0.52241,                 1.1528,                0.77153,                 1.6204,               0.000595,               0.000595,               0.000595
                     98,                0.76981,                0.46041,                 1.2498,                0.81457,                  0.756,                0.78553,                0.52162,                 1.1515,                0.77427,                 1.6201,               0.000496,               0.000496,               0.000496
                     99,                 0.7646,                0.45762,                 1.2428,                0.81713,                0.75546,                0.78436,                0.52197,                 1.1509,                0.77379,                 1.6197,               0.000397,               0.000397,               0.000397
                    100,                0.75836,                 0.4517,                 1.2413,                0.81259,                0.75604,                0.78419,                 0.5225,                 1.1503,                0.77404,                 1.6208,               0.000298,               0.000298,               0.000298
